Common Name,Species,Year,Region,Latitude,Longitude,Depth
Banded drum,Larimus fasciatus,2011,Gulf of Mexico,28.5352363564903,-93.9927889217365,56.4435164832988
Banded drum,Larimus fasciatus,2012,Gulf of Mexico,28.5779983285821,-94.0259894389143,51.2648071500468
Banded drum,Larimus fasciatus,2013,Gulf of Mexico,28.682300488914,-92.0873599382112,51.969877250316
Banded drum,Larimus fasciatus,2014,Gulf of Mexico,28.6378454086681,-93.5641803083404,59.1310425360438
Banded drum,Larimus fasciatus,2015,Gulf of Mexico,28.7211358644487,-93.6489008227378,50.9128697240015
Banded drum,Larimus fasciatus,2016,Gulf of Mexico,28.6896662898149,-91.860965975445,56.4072198468285
Banded drum,Larimus fasciatus,2017,Gulf of Mexico,28.7149585123801,-93.6625137159021,48.4506247146026
Banded drum,Larimus fasciatus,2018,Gulf of Mexico,28.5326815291833,-92.8988314704834,82.251618951395
Banded drum,Larimus fasciatus,2019,Gulf of Mexico,28.904429300171,-93.2154521046611,40.0608543216463
Banded drum,Larimus fasciatus,1974,Northeast US Fall,35.549450840708,-75.3115038230088,26.716814159292
Banded drum,Larimus fasciatus,1975,Northeast US Fall,35.549450840708,-75.3115038230088,26.716814159292
Banded drum,Larimus fasciatus,1976,Northeast US Fall,,,
Guachanche barracuda,Sphyraena guachancho,1985,Gulf of Mexico,27.3316750902527,-97.1630857400722,38.6398371119134
Guachanche barracuda,Sphyraena guachancho,1986,Gulf of Mexico,29.5961093534666,-88.7358077670519,52.9263282650521
Guachanche barracuda,Sphyraena guachancho,1987,Gulf of Mexico,28.7236100531614,-91.5814358315817,55.351313886327
Guachanche barracuda,Sphyraena guachancho,1988,Gulf of Mexico,28.7849086582596,-92.5506337824772,52.6996955997086
Guachanche barracuda,Sphyraena guachancho,1989,Gulf of Mexico,28.5108244483691,-92.1600963165712,52.1459797729354
Guachanche barracuda,Sphyraena guachancho,1990,Gulf of Mexico,28.4489944488941,-92.9900952860167,61.5161569469917
Guachanche barracuda,Sphyraena guachancho,1991,Gulf of Mexico,28.6299696374106,-92.4694389098317,56.8682534164425
Guachanche barracuda,Sphyraena guachancho,1992,Gulf of Mexico,28.908938388749,-91.2146075506773,61.897356313
Guachanche barracuda,Sphyraena guachancho,1993,Gulf of Mexico,28.8619238850244,-91.5806825070737,59.5165980005058
Guachanche barracuda,Sphyraena guachancho,1994,Gulf of Mexico,28.7753771610084,-91.2908776435177,55.9623614691575
Guachanche barracuda,Sphyraena guachancho,1995,Gulf of Mexico,28.7939725438081,-91.6762295687974,59.0235921493681
